date,sentiment_classfn,eth_price
2019-10-11,338,180.72
2019-10-12,336,179.68
2019-10-13,354,180.99
2019-10-14,349,186.72
2019-10-15,351,180.49
2019-10-16,351,174.47
2019-10-17,352,177.16
2019-10-18,347,172.74
2019-10-19,341,171.79
2019-10-20,352,175.22
2019-10-21,353,173.98
2019-10-22,344,171.2
2019-10-23,337,162.35
2019-10-24,346,160.38
2019-10-25,342,181.5
2019-10-26,341,179.49
2019-10-27,362,183.75
2019-10-28,355,181.72
2019-10-29,367,190.46
2019-10-30,354,183.13
2019-10-31,349,182.18
2019-11-01,352,182.85
2019-11-02,351,182.91
2019-11-03,350,181.54
2019-11-04,348,185.71
2019-11-05,353,188.68
2019-11-06,360,191.16
2019-11-07,348,186.68
2019-11-08,346,183.74
2019-11-09,354,184.89
2019-11-10,340,188.96
2019-11-11,345,184.98
2019-11-12,345,187.09
2019-11-13,358,188.11
2019-11-14,349,184.92
2019-11-15,344,180.0
2019-11-16,331,182.37
2019-11-17,314,183.82
2019-11-18,343,178.2
2019-11-19,346,175.94
2019-11-20,339,174.72
2019-11-21,350,161.01
2019-11-22,339,149.56
2019-11-23,345,151.84
2019-11-24,346,139.96
2019-11-25,327,145.69
2019-11-26,354,147.47
2019-11-27,339,152.62
2019-11-28,351,150.72
2019-11-29,348,154.57
2019-11-30,352,151.37
2019-12-01,357,150.73
2019-12-02,339,148.65
2019-12-03,336,147.17
2019-12-04,336,145.38
2019-12-05,338,148.1
2019-12-06,348,148.45
2019-12-07,351,147.14
2019-12-08,355,150.44
2019-12-09,345,147.38
2019-12-10,340,145.56
2019-12-11,333,143.39
2019-12-12,344,144.87
2019-12-13,348,144.8
2019-12-14,345,141.79
2019-12-15,352,142.46
2019-12-16,329,132.73
2019-12-17,326,121.88
2019-12-18,337,132.78
2019-12-19,336,128.1
2019-12-20,344,128.19
2019-12-21,354,126.99
2019-12-22,348,132.09
2019-12-23,348,127.8
2019-12-24,348,127.75
2019-12-25,341,125.09
2019-12-26,345,125.58
2019-12-27,344,126.29
2019-12-28,359,128.11
2019-12-29,352,134.36
2019-12-30,345,131.59
2019-12-31,343,129.16
2020-01-01,363,130.77
2020-01-02,352,127.19
2020-01-03,346,134.35
2020-01-04,354,134.2
2020-01-05,359,135.37
2020-01-06,351,144.15
2020-01-07,349,142.8
2020-01-08,357,140.72
2020-01-09,339,137.74
2020-01-10,358,144.84
2020-01-11,354,142.38
2020-01-12,352,146.54
2020-01-13,353,143.58
2020-01-14,378,165.64
2020-01-15,354,166.4
2020-01-16,352,164.21
2020-01-17,371,169.85
2020-01-18,373,174.14
2020-01-19,366,166.79
2020-01-20,356,166.87
2020-01-21,344,169.49
2020-01-22,344,168.07
2020-01-23,347,162.81
2020-01-24,339,162.54
2020-01-25,352,160.35
2020-01-26,353,167.86
2020-01-27,343,170.08
2020-01-28,363,175.64
2020-01-29,343,173.72
2020-01-30,368,184.69
2020-01-31,352,179.99
2020-02-01,363,183.6
2020-02-02,364,188.44
2020-02-03,354,189.69
2020-02-04,354,188.91
2020-02-05,362,203.78
2020-02-06,375,213.19
2020-02-07,370,223.33
2020-02-08,356,223.05
2020-02-09,331,228.49
2020-02-10,371,222.89
2020-02-11,363,236.69
2020-02-12,414,265.74
2020-02-13,366,268.32
2020-02-14,388,285.15
2020-02-15,363,264.88
2020-02-16,355,258.85
2020-02-17,358,267.85
2020-02-18,394,282.61
2020-02-19,374,258.45
2020-02-20,381,256.96
2020-02-21,354,265.27
2020-02-22,349,261.57
2020-02-23,370,274.48
2020-02-24,343,265.52
2020-02-25,339,246.67
2020-02-26,340,223.93
2020-02-27,343,227.79
2020-02-28,349,226.76
2020-02-29,354,217.21
2020-03-01,342,217.81
2020-03-02,350,231.97
2020-03-03,345,223.91
2020-03-04,351,224.26
2020-03-05,348,228.38
2020-03-06,350,244.88
2020-03-07,358,237.23
2020-03-08,339,199.43
2020-03-09,336,202.81
2020-03-10,343,200.7
2020-03-11,332,194.61
2020-03-12,298,107.82
2020-03-13,316,134.06
2020-03-14,343,122.54
2020-03-15,343,123.78
2020-03-16,336,111.02
2020-03-17,341,115.67
2020-03-18,341,118.11
2020-03-19,346,136.3
2020-03-20,332,133.48
2020-03-21,346,132.66
2020-03-22,344,122.32
2020-03-23,339,135.92
2020-03-24,347,138.42
2020-03-25,343,136.1
2020-03-26,339,138.4
2020-03-27,340,131.33
2020-03-28,341,130.98
2020-03-29,348,124.5
2020-03-30,345,132.06
2020-03-31,341,132.72
2020-04-01,339,135.69
2020-04-02,349,141.28
2020-04-03,356,141.31
2020-04-04,352,144.1
2020-04-05,351,142.68
2020-04-06,367,171.32
2020-04-07,346,164.63
2020-04-08,344,173.11
2020-04-09,345,169.52
2020-04-10,343,157.81
2020-04-11,348,158.33
2020-04-12,351,158.59
2020-04-13,343,156.29
2020-04-14,344,158.45
2020-04-15,338,152.73
2020-04-16,345,172.29
2020-04-17,343,170.69
2020-04-18,372,187.4
2020-04-19,364,180.03
2020-04-20,331,170.2
2020-04-21,336,170.74
2020-04-22,337,182.7
2020-04-23,332,185.51
2020-04-24,356,187.59
2020-04-25,387,194.21
2020-04-26,384,197.38
2020-04-27,355,196.34
2020-04-28,356,196.24
2020-04-29,398,215.36
2020-04-30,352,206.08
2020-05-01,353,212.02
2020-05-02,368,213.9
2020-05-03,359,209.86
2020-05-04,339,206.48
2020-05-05,334,205.29
2020-05-06,349,198.97
2020-05-07,331,212.0
2020-05-08,347,211.31
2020-05-09,345,210.07
2020-05-10,340,187.54
2020-05-11,344,185.73
2020-05-12,346,189.76
2020-05-13,346,199.58
2020-05-14,349,203.29
2020-05-15,347,194.86
2020-05-16,350,200.45
2020-05-17,350,207.0
2020-05-18,370,214.91
2020-05-19,352,214.58
2020-05-20,354,209.98
2020-05-21,336,198.74
2020-05-22,348,207.36
2020-05-23,355,206.6
2020-05-24,358,199.9
2020-05-25,349,204.15
2020-05-26,350,200.89
2020-05-27,347,208.29
2020-05-28,362,220.21
2020-05-29,383,220.67
2020-05-30,464,243.66
2020-05-31,359,231.57
2020-06-01,392,248.23
2020-06-02,360,237.71
2020-06-03,351,244.52
2020-06-04,338,243.21
2020-06-05,352,240.03
2020-06-06,352,241.94
2020-06-07,358,244.56
2020-06-08,351,246.4
2020-06-09,352,243.8
2020-06-10,357,247.78
2020-06-11,336,230.51
2020-06-12,338,237.55
2020-06-13,329,238.11
2020-06-14,357,231.77
2020-06-15,337,230.86
2020-06-16,347,235.3
2020-06-17,346,233.82
2020-06-18,343,231.27
2020-06-19,341,229.0
2020-06-20,347,228.89
2020-06-21,341,228.04
2020-06-22,360,243.13
2020-06-23,353,243.14
2020-06-24,356,234.58
2020-06-25,340,232.5
2020-06-26,338,229.64
2020-06-27,340,220.94
2020-06-28,339,224.93
2020-06-29,342,227.93
2020-06-30,344,225.6
2020-07-01,335,230.99
2020-07-02,326,226.46
2020-07-03,345,224.87
2020-07-04,345,229.17
2020-07-05,345,227.56
2020-07-06,348,241.6
2020-07-07,349,239.39
2020-07-08,343,246.95
2020-07-09,346,241.98
2020-07-10,353,241.26
2020-07-11,350,239.19
2020-07-12,339,242.79
2020-07-13,355,239.5
2020-07-14,350,240.44
2020-07-15,354,238.61
2020-07-16,346,233.57
2020-07-17,344,232.67
2020-07-18,353,235.67
2020-07-19,349,239.11
2020-07-20,350,236.01
2020-07-21,353,245.59
2020-07-22,370,263.74
2020-07-23,392,275.3
2020-07-24,385,279.15
2020-07-25,479,305.26
2020-07-26,391,311.0
2020-07-27,412,321.93
2020-07-28,354,316.77
2020-07-29,358,317.71
2020-07-30,358,334.87
2020-07-31,378,346.33
2020-08-01,442,387.0
2020-08-02,471,372.42
2020-08-03,380,385.94
2020-08-04,404,389.61
2020-08-05,401,400.72
2020-08-06,368,394.77
2020-08-07,358,379.34
2020-08-08,364,397.03
2020-08-09,381,390.14
2020-08-10,374,395.44
2020-08-11,340,379.0
2020-08-12,349,387.18
2020-08-13,485,424.54
2020-08-14,436,438.11
2020-08-15,367,432.32
2020-08-16,359,433.62
2020-08-17,350,430.89
2020-08-18,346,421.95
2020-08-19,353,407.46
2020-08-20,357,415.94
2020-08-21,344,387.97
2020-08-22,340,395.24
2020-08-23,357,390.71
2020-08-24,352,407.68
2020-08-25,344,382.93
2020-08-26,351,385.81
2020-08-27,350,383.27
2020-08-28,361,395.11
2020-08-29,367,398.65
2020-08-30,377,428.94
2020-08-31,353,433.79
2020-09-01,438,475.4
2020-09-02,357,439.5
2020-09-03,365,381.4
2020-09-04,343,385.26
2020-09-05,314,335.01
2020-09-06,343,352.8
2020-09-07,362,353.59
2020-09-08,340,337.39
2020-09-09,342,350.85
2020-09-10,356,367.93
2020-09-11,347,373.63
2020-09-12,363,387.78
2020-09-13,358,366.42
2020-09-14,358,377.12
2020-09-15,363,364.06
2020-09-16,346,365.11
2020-09-17,370,389.36
2020-09-18,352,384.39
2020-09-19,360,385.25
2020-09-20,351,371.04
2020-09-21,356,340.36
2020-09-22,344,344.21
2020-09-23,337,320.72
2020-09-24,349,348.97
2020-09-25,347,351.92
2020-09-26,352,353.92
2020-09-27,355,357.49
2020-09-28,342,353.96
2020-09-29,345,359.79
2020-09-30,344,359.83
2020-10-01,346,352.85
2020-10-02,337,345.6
2020-10-03,356,345.95
2020-10-04,347,352.37
2020-10-05,350,353.62
2020-10-06,348,340.75
2020-10-07,348,341.58
2020-10-08,347,350.95
2020-10-09,352,365.02
2020-10-10,362,370.52
2020-10-11,356,374.16
2020-10-12,368,386.51
2020-10-13,346,381.04
2020-10-14,350,378.69
2020-10-15,347,377.64
2020-10-16,348,365.5
2020-10-17,359,368.32
2020-10-18,362,378.11
2020-10-19,361,379.3
2020-10-20,345,368.52
2020-10-21,367,390.38
2020-10-22,393,413.98
2020-10-23,363,409.11
2020-10-24,357,412.14
2020-10-25,352,405.86
2020-10-26,365,392.52
2020-10-27,346,403.45
2020-10-28,336,388.23
2020-10-29,345,387.13
2020-10-30,332,382.49
2020-10-31,349,386.46
2020-11-01,357,396.67
2020-11-02,379,383.02
2020-11-03,351,387.88
2020-11-04,357,402.49
2020-11-05,353,416.69
2020-11-06,387,455.91
2020-11-07,385,435.21
2020-11-08,381,454.3
2020-11-09,351,444.32
2020-11-10,366,450.34
2020-11-11,390,463.09
2020-11-12,368,462.39
2020-11-13,374,476.43
2020-11-14,352,460.89
2020-11-15,358,448.08
2020-11-16,355,460.55
2020-11-17,383,482.15
2020-11-18,400,478.41
2020-11-19,362,471.25
2020-11-20,481,510.12
2020-11-21,506,552.35
2020-11-22,478,560.03
2020-11-23,566,608.58
2020-11-24,484,604.97
2020-11-25,390,569.5
2020-11-26,387,519.83
2020-11-27,364,518.68
2020-11-28,404,537.52
2020-11-29,418,576.3
2020-11-30,429,616.66
2020-12-01,400,585.26
2020-12-02,370,596.89
2020-12-03,377,615.85
2020-12-04,361,567.24
2020-12-05,365,596.8
2020-12-06,392,601.54
2020-12-07,359,591.28
2020-12-08,335,554.94
2020-12-09,359,573.09
2020-12-10,349,558.99
2020-12-11,352,544.43
2020-12-12,360,568.04
2020-12-13,369,590.7
2020-12-14,365,586.29
2020-12-15,371,588.64
2020-12-16,419,637.18
2020-12-17,416,642.7
2020-12-18,370,653.85
2020-12-19,397,658.03
2020-12-20,385,638.18
2020-12-21,363,607.58
2020-12-22,370,636.45
2020-12-23,380,585.56
2020-12-24,360,612.31
2020-12-25,372,626.82
2020-12-26,421,637.44
2020-12-27,571,685.11
2020-12-28,542,730.41
2020-12-29,395,732.0
2020-12-30,416,752.17
2020-12-31,413,736.42
2021-01-01,414,728.91
2021-01-02,554,774.56
2021-01-03,1312,978.28
2021-01-04,1400,1041.43
2021-01-05,992,1099.56
2021-01-06,708,1208.42
2021-01-07,666,1224.87
2021-01-08,678,1216.93
2021-01-09,803,1276.0
2021-01-10,792,1254.25
2021-01-11,721,1087.01
2021-01-12,476,1050.16
2021-01-13,450,1129.89
2021-01-14,545,1231.62
2021-01-15,485,1168.53
2021-01-16,583,1227.83
2021-01-17,549,1232.45
2021-01-18,484,1258.45
2021-01-19,1272,1365.36
2021-01-20,490,1376.99
2021-01-21,496,1110.96
2021-01-22,634,1232.62
2021-01-23,489,1233.6
2021-01-24,1096,1392.51
2021-01-25,1089,1317.88
2021-01-26,496,1365.97
2021-01-27,428,1239.03
2021-01-28,544,1329.69
2021-01-29,492,1379.5
2021-01-30,485,1378.05
2021-01-31,401,1312.55
2021-02-01,532,1374.17
2021-02-02,1523,1511.87
2021-02-03,1199,1664.49
2021-02-04,771,1595.67
2021-02-05,755,1719.19
2021-02-06,487,1676.35
2021-02-07,554,1611.62
2021-02-08,587,1750.15
2021-02-09,674,1769.13
2021-02-10,693,1740.78
2021-02-11,508,1785.62
2021-02-12,727,1840.26
2021-02-13,541,1814.96
2021-02-14,435,1800.42
2021-02-15,476,1779.25
2021-02-16,451,1781.99
2021-02-17,528,1849.88
2021-02-18,848,1939.61
2021-02-19,587,1955.0
2021-02-20,1127,1913.0
2021-02-21,473,1933.53
2021-02-22,565,1777.58
2021-02-23,487,1577.89
2021-02-24,491,1623.39
2021-02-25,342,1481.75
2021-02-26,486,1444.59
2021-02-27,465,1458.13
2021-02-28,385,1419.18
2021-03-01,486,1569.86
2021-03-02,487,1486.78
2021-03-03,490,1567.69
2021-03-04,394,1539.23
2021-03-05,432,1528.31
2021-03-06,655,1650.35
2021-03-07,485,1726.16
2021-03-08,599,1833.18
2021-03-09,564,1870.51
2021-03-10,482,1795.12
2021-03-11,405,1825.78
2021-03-12,394,1766.1
2021-03-13,596,1922.35
2021-03-14,420,1848.1
2021-03-15,405,1793.48
2021-03-16,400,1805.12
2021-03-17,406,1823.58
2021-03-18,401,1776.08
2021-03-19,415,1809.1
2021-03-20,412,1806.1
2021-03-21,392,1782.98
2021-03-22,395,1680.97
2021-03-23,339,1668.08
2021-03-24,370,1581.84
2021-03-25,372,1585.74
2021-03-26,427,1698.84
2021-03-27,435,1712.63
2021-03-28,378,1687.01
2021-03-29,599,1816.74
2021-03-30,428,1840.46
2021-03-31,582,1919.37
2021-04-01,610,1968.05
2021-04-02,1417,2133.69
2021-04-03,567,2008.52
2021-04-04,500,2075.69
2021-04-05,474,2107.38
2021-04-06,504,2112.21
2021-04-07,402,1963.47
2021-04-08,419,2080.46
2021-04-09,405,2066.87
2021-04-10,580,2133.49
2021-04-11,407,2151.36
2021-04-12,425,2137.69
2021-04-13,692,2299.19
2021-04-14,756,2432.6
2021-04-15,956,2514.04
2021-04-16,470,2422.67
2021-04-17,486,2317.6
2021-04-18,548,2235.64
2021-04-19,436,2161.12
2021-04-20,561,2330.03
2021-04-21,669,2357.06
2021-04-22,938,2397.94
2021-04-23,527,2367.39
2021-04-24,445,2213.35
2021-04-25,545,2320.49
2021-04-26,746,2532.6
2021-04-27,816,2666.13
2021-04-28,916,2748.24
2021-04-29,703,2757.04
2021-04-30,602,2772.42
2021-05-01,1089,2944.77
2021-05-02,818,2949.56
2021-05-03,3152,3431.04
2021-05-04,1504,3239.01
2021-05-05,989,3524.26
2021-05-06,870,3489.73
2021-05-07,627,3479.53
2021-05-08,1739,3910.26
2021-05-09,1089,3923.95
2021-05-10,2585,3945.88
2021-05-11,928,4173.45
2021-05-12,1803,3823.21
2021-05-13,1133,3717.91
2021-05-14,1058,4075.01
2021-05-15,619,3646.68
2021-05-16,678,3582.1
2021-05-17,613,3282.51
2021-05-18,811,3375.07
2021-05-19,272,2438.92
2021-05-20,684,2768.62
2021-05-21,343,2430.98
2021-05-22,443,2294.87
2021-05-23,1,2096.39
2021-05-24,970,2648.43
2021-05-25,659,2705.11
2021-05-26,755,2884.94
2021-05-27,418,2742.23
2021-05-28,271,2412.1
2021-05-29,271,2278.74
2021-05-30,449,2385.98
2021-05-31,551,2706.15
2021-06-01,462,2634.57
2021-06-02,542,2706.22
2021-06-03,585,2857.25
2021-06-04,442,2689.51
2021-06-05,425,2627.73
2021-06-06,475,2711.92
2021-06-07,520,2592.05
2021-06-08,395,2507.23
2021-06-09,431,2610.18
2021-06-10,366,2471.09
2021-06-11,330,2354.01
2021-06-12,431,2370.74
2021-06-13,454,2509.33
2021-06-14,457,2580.77
2021-06-15,427,2543.54
2021-06-16,339,2367.89
2021-06-17,331,2373.28
2021-06-18,190,2234.09
2021-06-19,279,2164.67
2021-06-20,380,2243.47
2021-06-21,194,1885.49
2021-06-22,237,1879.28
2021-06-23,548,1968.14
2021-06-24,432,1989.52
2021-06-25,233,1808.82
2021-06-26,287,1829.64
2021-06-27,497,1982.28
2021-06-28,702,2084.41
2021-06-29,579,2165.33
2021-06-30,639,2275.68
2021-07-01,352,2106.41
2021-07-02,320,2154.13
2021-07-03,374,2226.99
2021-07-04,616,2322.69
2021-07-05,366,2196.53
2021-07-06,474,2322.5
2021-07-07,584,2316.57
2021-07-08,348,2116.33
2021-07-09,343,2146.99
2021-07-10,344,2110.69
2021-07-11,360,2140.45
2021-07-12,319,2031.58
2021-07-13,360,1940.15
2021-07-14,388,1994.58
2021-07-15,392,1919.51
2021-07-16,310,1876.26
2021-07-17,319,1899.59
2021-07-18,380,1891.64
2021-07-19,332,1818.73
2021-07-20,335,1786.03
2021-07-21,625,1995.5
2021-07-22,500,2024.56
2021-07-23,497,2124.25
2021-07-24,528,2184.75
2021-07-25,442,2189.79
2021-07-26,802,2228.08
2021-07-27,400,2299.49
2021-07-28,488,2300.9
2021-07-29,529,2382.92
2021-07-30,791,2461.81
2021-07-31,750,2531.05
2021-08-01,1109,2555.69
2021-08-02,745,2606.93
2021-08-03,495,2509.04
2021-08-04,1300,2724.78
2021-08-05,1478,2826.99
2021-08-06,1101,2891.58
2021-08-07,1428,3160.31
2021-08-08,774,3011.85
2021-08-09,642,3160.52
2021-08-10,644,3141.66
2021-08-11,695,3160.5
2021-08-12,637,3045.96
2021-08-13,738,3322.32
2021-08-14,563,3263.16
2021-08-15,570,3307.09
2021-08-16,558,3146.53
2021-08-17,533,3011.72
2021-08-18,517,3014.55
2021-08-19,589,3184.12
2021-08-20,735,3284.82
2021-08-21,584,3223.43
2021-08-22,501,3238.0
2021-08-23,717,3321.28
2021-08-24,491,3170.62
2021-08-25,551,3226.87
2021-08-26,422,3093.2
2021-08-27,565,3273.45
2021-08-28,434,3244.48
2021-08-29,485,3223.47
2021-08-30,678,3229.64
2021-08-31,881,3429.2
2021-09-01,2124,3826.82
2021-09-02,926,3785.82
2021-09-03,1245,3938.11
2021-09-04,629,3885.52
2021-09-05,778,3950.29
2021-09-06,688,3926.77
2021-09-07,753,3434.57
2021-09-08,640,3499.0
2021-09-09,525,3424.93
2021-09-10,457,3208.86
2021-09-11,523,3267.21
2021-09-12,565,3404.21
2021-09-13,443,3285.35
2021-09-14,570,3434.37
2021-09-15,645,3613.55
2021-09-16,660,3567.98
2021-09-17,544,3399.81
2021-09-18,515,3435.64
2021-09-19,456,3328.62
2021-09-20,570,2977.28
2021-09-21,370,2765.9
2021-09-22,526,3076.92
2021-09-23,534,3152.5
2021-09-24,621,2928.53
2021-09-25,512,2921.73
2021-09-26,550,3059.37
2021-09-27,545,2925.59
2021-09-28,397,2804.91
2021-09-29,432,2850.45
2021-09-30,630,3000.61
2021-10-01,782,3309.91
2021-10-02,717,3387.76
2021-10-03,519,3417.73
2021-10-04,410,3386.31
2021-10-05,572,3515.27
2021-10-06,651,3574.89
2021-10-07,566,3587.47
2021-10-08,519,3563.13
2021-10-09,456,3574.82
2021-10-10,425,3414.22
2021-10-11,413,3542.12
2021-10-12,422,3491.46
2021-10-13,466,3607.42
2021-10-14,1023,3790.82
2021-10-15,661,3868.99
2021-10-16,619,3829.96
2021-10-17,508,3846.85
2021-10-18,443,3744.96
2021-10-19,529,3877.03
2021-10-20,1374,4161.15
2021-10-21,1074,4052.99
2021-10-22,504,3972.2
2021-10-23,588,4167.12
2021-10-24,483,4082.33
2021-10-25,591,4220.37
2021-10-26,639,4131.52
2021-10-27,506,3922.0
2021-10-28,660,4286.02
2021-10-29,1445,4418.89
2021-10-30,488,4322.68
2021-10-31,509,4287.21
2021-11-01,480,4319.43
2021-11-02,1132,4589.89
2021-11-03,873,4603.35
2021-11-04,494,4532.32
2021-11-05,445,4474.24
2021-11-06,494,4502.3
